序号,单词,音标,词性,中文释义,英文例句,分类,小节
30,success,/səkˈses/,n.,成功,Confidence is the key to success. 信心是成功的 关键。,Level 1,Day 15
31,successful,/səkˈsesfl/,adj.,成功的,He is a successful writer. 他是一个成功的作家。,Level 1,Day 15
32,message,/ˈmesɪdʒ/,n.,消息,,Level 1,Day 15
33,estimate,/ˈestɪmeɪt/,n.,估计,It's hard to estimate the costs and benefits. 很难估 计出成本和收益。,Level 1,Day 15
34,access,/ˈækses/,n.,通道；进入,Students must have access to good resources. 学 生必须有机会使用好的资源。,Level 1,Day 15
35,affect,/əˈfekt/,v.,影响,Your opinion will not affect my decision. 你的意 见不会影响我的决定。,Level 1,Day 15
36,effect,/ɪˈfekt/,n.,影响；效果,in effect 实际上；生效 | The effect is almost impossible to describe. 这影 响几乎无法言表。,Level 1,Day 15
37,influence,/ˈɪnfluəns/,n.,影响,The media has a powerful influence on public opinion. 传媒对于舆论有很大的影响。 | He influenced me deeply. 他深深地影响了我。,Level 1,Day 15
38,cause,/kɔːz/,n.,原因；事业,The cause of the fire is not known. 火灾的原因尚 不清楚。 | He died for a noble cause. 他为了高尚的事业而 牺牲。 | Cars can cause pollution. 汽车会引起污染。,Level 1,Day 15
39,click,/klɪk/,v.,点击,Click the link and see what happens. 点击那个链 接，看看会发生什么。,Level 1,Day 15
40,cheat,/tʃiːt/,v.,欺骗,I guess that he won't cheat you. 我猜他是不会骗 你的。,Level 1,Day 15
1,normal,/ˈnɔːrml/,adj.,正常的,Her height and weight are normal for her age. 的身高和体重对于她的年龄来说是正常的。,Level 1,Day 16
2,average,/ˈævərɪdʒ/,n.,平均,The average price of goods rose by just 2.2%. 品的平均价格仅上涨了2.2%。,Level 1,Day 16
3,common,/ˈkɑːmən/,adj.,共同的；通常的,It is common knowledge. 这是普遍常识。,Level 1,Day 16
4,traditional,/trəˈdɪʃənl/,adj.,传统的；惯例的,Most couples want a traditional wedding. 多数情 侣希望举办一个传统的婚礼。,Level 1,Day 16
5,immediately,/ɪˈmiːdiətli/,adv.,立即,She answered almost 线｜教研团队 immediately. 她几乎立刻 就回答了。,Level 1,Day 16
6,recently,/ˈriːsntli/,,,,Level 1,Day 16
7,previous,/ˈpriːviəs/,,,She reviewed the previous week on her way home.,Level 1,Day 16
8,current,/ˈkɜːrənt/,adj.,现在的 商 n. (水，气，电)流；趋势,The current situation is very different. 当前的形 势大不相同。,Level 1,Day 16
9,moment,/ˈmoʊmənt/,n.,时刻；瞬间,The moment of decision has arrived. 决策的时刻 已经到了。,Level 1,Day 16
10,present,/ˈpreznt/,adj.,现在的；出席的；存在的,Did you get your mother a present? 你给你母亲 买礼物了吗？ | How do you read the present situation? 你对目前,Level 1,Day 16
11,represent,/ˌreprɪˈzent/,v.,代表,Those comments do not represent the views all. 这些言论并不是我们所有人的看法。,Level 1,Day 16
12,suddenly,/ˈsʌdənli/,adv.,突然地；忽然,It all happened so suddenly. 一切都来得那么突然。 | She looked up for a minute and then continued drawing. 她抬头看了一会儿，然后继续画。,Level 1,Day 16
14,modern,/ˈmɑːdərn/,adj.,现代的,Stress is a major problem of modern life. 压力是 现代生活中的主要问题。,Level 1,Day 16
15,series,/ˈsɪriːz/,n.,系列,a series of setbacks 一系列的挫折,Level 1,Day 16
16,sort,/sɔːrt/,n.,种类,That sort of house is back in fashion. 那种房子又 时兴起来了。,Level 1,Day 16
17,variety,/vəˈraɪəti/,n.,多样；种类,We all need variety in our diet. 我们都需要饮食 多样化。 | He directed various TV shows. 他导演过各种电 视节目。,Level 1,Day 16
19,version,/ˈvɜːrʒn/,n.,版本,I only knew the official version of events. 我对事 of us 情的了解仅限于官方的版本。,Level 1,Day 16
20,type,/taɪp/,n.,类型,Is there a particular type of book he enjoys? 他有 特别喜爱的哪一类书籍吗？,Level 1,Day 16
21,style,/staɪl/,n.,风格,a management style 管理方式,Level 1,Day 16
22,tend,/tend/,v.,趋向,Women tend to live longer than men. 女人往往比 男人长寿。,Level 1,Day 16
23,range,/reɪndʒ/,n.,范围；山脉,The average age range is between 35 and 55. 平 均年龄范围是35 至55 岁。,Level 1,Day 16
24,piece,/piːs/,n.,块；片,Let me give you a piece of advice. 让我给你一个 忠告。,Level 1,Day 16
25,original,/əˈrɪdʒənl/,adj.,原来的,The original plan was to go by bus. 起初的计划 是乘公交车去。,Level 1,Day 16
26,campus,/ˈkæmpəs/,,,,Level 1,Day 16
28,battery,/ˈbætəri/,n.,电池,He charged the battery of his car. 他给汽车的电 池充了电。 | The train was trapped underground by a fire. 被一场大火困在了地下。,Level 1,Day 16
30,subway,/ˈsʌbweɪ/,n.,地铁,I decided to take the subway to the hotel. 我决定 乘坐地铁去旅馆。,Level 1,Day 16
31,setback,/ˈsetbæk/,n.,挫折,That would be a severe setback. 那将会是一个严 重的挫折。,Level 1,Day 16
32,seize,/si:z/,v.,抓住；夺取,We should seize the chance. 我们应该抓住这个 机会。,Level 1,Day 16
33,caution,/ˈkɔːʃn/,n.,小心；警告,There is no need for such caution. 不必如此小心 60<< 零基础词汇讲义Level 1 谨慎。,Level 1,Day 16
34,risk,/rɪsk/,n.,风险；危险,She risked her own life to help a disabled woman. 她冒着失去自己生命的危险帮助了一位残疾妇女。,Level 1,Day 16
35,challenge,/ˈtʃælɪndʒ/,n.,挑战；质疑,The new government's first challenge is the economy. 新政府面临的第一项挑战是经济。,Level 1,Day 16
36,problem,/ˈprɑːbləm/,n.,难题；困难,I do not have a solution to the drug problem. 我并 列车 没有解决毒品问题的方法。,Level 1,Day 16
37,trouble,/ˈtrʌbl/,n.,麻烦；烦恼,You've caused us a lot of trouble. 你已经给我们 造成了很多麻烦。 | We have trouble getting staff. 我们在招聘雇员方 面有困难。,Level 1,Day 16
38,skill,/skɪl/,n.,技能；本领,Her job demands a high degree of skill. 她的工作 要求有高超的技能。,Level 1,Day 16
39,technology,/tekˈnɑːlədʒi/,n.,技术,Technology is changing fast. 技术日新月异。,Level 1,Day 16
40,science,/ˈsaɪəns/,n.,科学,modern science 现代科学,Level 1,Day 16
1,full,/fʊl/,adj.,完整的；充满的,She is always full of energy. 她总是充满活力。,Level 1,Day 17
2,fill,/fɪl/,v.,装满,Smoke filled the room.房间里烟雾弥漫。,Level 1,Day 17
3,feel,/fiːl/,v.,感觉；认为 [过去式felt 过去分词felt 现在分词feeling],"I don't feel very well. 我感觉不太好。 | The interview only took ten minutes, but it felt hours.面试只用了十分钟，但觉得像几个小时似的。",Level 1,Day 17
4,lead,/liːd/,v.,领导；引导,A poor diet will lead to illness. 糟糕的饮食终将 导致疾病。 | to lead a discussion 主持讨论,Level 1,Day 17
5,general,/ˈdʒenrəl/,adj.,普遍的,The general opinion is that the meeting was 17 list feel lead general fly fast hungry light protect significant energy damage dark response responsibility power practice function extend associate generation nature,Level 1,Day 17
6,rest,/rest/,v.,休息；倚靠,I'm not doing this job for the rest of my life.我不 会一辈子干这种工作。 | Rest your eyes every half an hour.每过半小时让 眼睛休息一下。,Level 1,Day 17
7,clean,/kliːn/,adj.,干净的 like e.g. The subway is clean. 地铁很干净。,,Level 1,Day 17
8,fly,/flaɪ/,v.,飞 [过去式flew 过去分词flown 现在分词flying],The planes flew through the clouds. 飞机穿越云层。,Level 1,Day 17
9,fast,/fæst/,adj.,快速的 a e.g. a fast learner 领悟快的学习者,,Level 1,Day 17
10,hungry,/ˈhʌŋɡri/,adj.,饥饿的；渴望的,I'm really hungry. 我真是饿了。,Level 1,Day 17
11,center,/ˈsentər/,n.,中心,Conversation is the center of activities. 谈话是活 动的中心。,Level 1,Day 17
12,side,/saɪd/,,,We put a notice on the side of the box. 我们在这,Level 1,Day 17
13,light,/laɪt/,n.,光；灯,All plants need light and water. 一切植物都需要 阳光和水。 | Carry this bag—it's light. 你拿这个包——它 很轻。,Level 1,Day 17
14,protect,/prəˈtekt/,v.,保护,My main concern now is to protect the children. 我现在最关心的是保护这些孩子。,Level 1,Day 17
15,significant,/sɪɡˈnɪfɪkənt/,adj.,重大的；显著的,Your work has shown a significant improvement. 你的工作有了显著改进。,Level 1,Day 17
16,source,/sɔːrs/,,,What is their main source of income? 他们的主,Level 1,Day 17
17,resource,/ˈriːsɔːrs/,n.,资源,The Internet is often used as a resource for learning. 互联网通常被用作学习的资源。,Level 1,Day 17
18,energy,/ˈenərdʒi/,n.,能量；精力,It's a waste of time and energy. 那是浪费时间和 精力。,Level 1,Day 17
19,damage,/ˈdæmɪdʒ/,n.,损害,Smoking can seriously damage your health. 吸烟 会严重损害你的健康。,Level 1,Day 17
20,dark,/dɑːrk/,adj.,黑暗的,We 该能赶到。,Level 1,Day 17
21,suffer,/ˈsʌfər/,v.,遭受；忍受,The company suffered huge losses. 公司出现巨 额亏损。,Level 1,Day 17
22,field,/fiːld/,n.,领域；场地,They are all expert in this field. 他们都是这个领 域的行家。,Level 1,Day 17
23,response,/rɪˈspɑːns/,n.,响应；回答,I knocked on the door but there was no response. 我敲了门，可是没有回应。,Level 1,Day 17
24,responsibility,/rɪˌspɑːnsəˈbɪləti/,,,,Level 1,Day 17
25,power,/ˈpaʊər/,n.,力量；能量,She knew the limits of her power.她知道自己的 权限。 | wind power 风能,Level 1,Day 17
26,force,/fɔːrs/,n.,力量,He didn't force me—I wanted to go.他没有逼迫 我——是我想去的。,Level 1,Day 17
27,exercise,/ˈeksərsaɪz/,n.,锻炼；练习,The mind needs exercise as well as the body.大脑 同身体一样需要锻炼。,Level 1,Day 17
28,practice,/ˈpræktɪs/,n.,实践；练习,The next step is to put the theory into practice. 一阶段要把理论付诸实践。,Level 1,Day 17
29,function,/ˈfʌŋkʃn/,n.,功能,The function of the ear is to listen.耳的功能是听。,Level 1,Day 17
30,extend,/ɪkˈstend/,v.,延长；给予,The company plans to extend its operations,Level 1,Day 17
31,maintain,/meɪnˈteɪn/,v.,维持；维修 own e.g. The two countries have always maintained close relations. 这两个国家一直保持着密切关系。,,Level 1,Day 17
32,contain,/kənˈteɪn/,v.,包含,It contains a large amount of personal data. 它包 含大量私人信息。,Level 1,Day 17
33,associate,/əˈsoʊsieɪt/,v.,与……有联系,We associate with all sorts of people.我们同各种 各样的人有交往。,Level 1,Day 17
34,generation,/ˌdʒenəˈreɪʃn/,n.,一代；产生,My family have lived in this house for generations . 我家祖祖辈辈都住在这房子里。,Level 1,Day 17
35,nature,/ˈneɪtʃər/,n.,自然；本性,The 大自然最让人惊叹的地方在于它的多样性。,Level 1,Day 17
36,natural,/ˈnætʃrəl/,adj.,自然的；天然的 下 e.g. a country's natural resources 一个国家的自然 资源,He was not a natural leader. 他并非天生的领袖。,Level 1,Day 17
37,favorable,/ˈfeɪvərəbl/,adj.,有利的；赞成的,The book received favorable reviews. 这本书好 评如潮。,Level 1,Day 17
38,professional,/prəˈfeʃənl/,n.,专业人员,You need to seek professional advice .你需要进行,Level 1,Day 17
39,knowledge,/ˈnɑːlɪdʒ/,n.,知识,He has a wide knowledge of painting and music. 他在绘画和音乐方面知识渊博。 64<< 零基础词汇讲义Level 1,Level 1,Day 17
40,material,/məˈtɪriəl/,n.,材料,She is collecting material for her novel. 她在为其 小说收集素材。,Level 1,Day 17
2,list,/lɪst/,n.,列表，清单,to make a list of things to do 把要做的事列成清单,Level 1,Day 18
3,news,/njuːz/,n.,新闻，消息,What's the latest news?有什么最新消息吗？,Level 1,Day 18
4,newspaper,/ˈnjuːzpeɪpər/,n.,报纸,He was carrying a newspaper. 他正拿着一份报纸。,Level 1,Day 18
5,task,/tɑːsk/,n.,任务，工作,This is not an easy task. 这不是项容易的任务。,Level 1,Day 18
6,project,/ˈprɑːdʒekt/,n.,项目；方案,The project was badly managed. 整个项目管理 得差劲。,Level 1,Day 18
7,favorite,/ˈfeɪvərɪt/,adj.,最喜爱的 18,,Level 1,Day 18
8,prefer,/prɪˈfɜːr/,v.,更喜欢,Old people prefer to stay in their own homes. 老 年人喜欢待在自己家中。,Level 1,Day 18
9,cover,/ˈkʌvər/,v.,覆盖；包括；报道,The desk was covered with papers. 书桌上铺了 些纸。 | The BBC will cover all the major games.英国广 播公司将报道所有重要赛事。,Level 1,Day 18
10,discover,/dɪˈskʌvər/,v.,发现,We discovered we had a friend in common. 我们 发现我们有个共同的朋友。,Level 1,Day 18
11,create,/kriˈeɪt/,v.,创造，创作,We want to create jobs for the unemployed. 我们 想为失业者创造更多的工作。,Level 1,Day 18
12,design,/dɪˈzaɪn/,n.,设计,,Level 1,Day 18
13,define,/dɪˈfaɪn/,v.,定义,It's difficult to define the nature of the problem. 难给这个问题的本质下定义。,Level 1,Day 18
14,fear,/fɪr/,n.,害怕,Her eyes showed no fear.她的眼神无丝毫畏惧。,Level 1,Day 18
15,encourage,/ɪnˈkɜːrɪdʒ/,v.,鼓励；支持,People were encouraged by the news. 人们被这 条消息所鼓舞。,Level 1,Day 18
16,return,/rɪˈtɜːrn/,v.,返回,I waited a long time for him to return.我等他回来 等了很长时间。,Level 1,Day 18
17,depend,,v.,依靠；取决于,He depended on his writing for his income. 写作谋生。,Level 1,Day 18
18,cheer,/tʃɪr/,n.,欢呼，喝彩,You should cheer yourself up. 你应该使自己振 作起来。 66<< 零基础词汇讲义Level 1 | Officials began posting notices. 官员们开始张贴 这项 布告。 | to take up a post 就职,Level 1,Day 18
20,positive,/ˈpɑːzətɪv/,adj.,积极的 很 e.g. She tried to be more positive about her new job.她 力求对新工作更有信心。,,Level 1,Day 18
21,promise,/ˈprɑːmɪs/,n.,许诺,"If you make a promise, you should keep it. 如果 你许下一个诺言，你就应该遵守它。",Level 1,Day 18
22,legal,/ˈliːɡl/,adj.,法律的；合法的,the legal system 法律制度,Level 1,Day 18
23,except,/ɪkˈsept/,prep.,,We work every day except Sunday. 我们除星期 天外每天都工作。,Level 1,Day 18
24,exist,/ɪɡˈzɪst/,v.,存在；生存,The problem only exists in your head. 这个问题 他靠 不过是你的想象。,Level 1,Day 18
25,reason,/ˈriːzn/,n.,理由,They had reason to believe that there could be trouble. 他们有理由相信会有麻烦。,Level 1,Day 18
26,recognize,/ˈrekəɡnaɪz/,v.,认出；承认,I recognized her by her red hair.我从她的红头发,Level 1,Day 18
27,reflect,/rɪˈflekt/,v.,反映；反省,We should all give ourselves time to reflect. 都应该给自己时间来深思。,Level 1,Day 18
28,record,/ˈrekərd/,n.,记录 空公司有极佳的安全记录。,,Level 1,Day 18
29,attend,/əˈtend/,v.,出席,We have to attend meetings every day. 我们必须 每天都参加会议。,Level 1,Day 18
